820,0.00,76,50
821,0.00,80,56
822,0.25,65,57
823,0.00,66,43
824,0.00,64,52
825,0.00,68,52
826,0.00,73,54
827,0.00,76,53
828,0.02,78,56
829,0.18,73,58
830,0.00,88,61
831,0.00,90,69
832,0.00,87,73
833,0.00,85,71
834,0.00,83,66
835,0.00,78,62
836,0.04,70,63
837,0.00,83,65
838,0.00,85,64
839,0.45,67,52
840,0.00,71,54
841,0.00,77,57
842,0.00,74,57
843,0.00,79,58
844,0.00,85,62
845,0.22,74,65
846,0.00,78,63
847,0.00,84,64
848,0.00,87,72
849,0.00,86,68
850,0.00,83,69
851,0.00,84,67
852,0.45,83,67
853,0.12,76,68
854,0.01,83,67
855,0.00,85,67
856,0.83,79,66
857,0.66,86,69
858,0.00,91,75
859,0.04,89,77
860,0.08,86,67
861,0.00,81,65
862,0.00,82,68
863,0.00,85,71
864,0.62,88,73
865,0.00,88,79
866,0.35,93,72
867,0.00,83,73
868,0.00,85,68
869,0.00,90,71
870,0.00,94,74
871,1.00,93,73
872,0.00,89,72
873,0.00,91,74
874,0.00,95,75
875,1.09,85,69
876,0.00,80,69
877,0.00,79,68
878,0.00,80,66
879,0.00,81,67
880,0.00,83,69
881,0.00,86,71
882,0.00,87,71
883,0.09,86,75
884,0.15,91,74
885,0.32,93,73
886,0.00,92,77
887,0.11,87,78
888,0.01,85,77
889,0.03,85,72
890,0.01,88,74
891,0.00,79,65
892,0.00,82,61
893,0.00,88,68
894,0.01,86,69
895,0.00,90,75
896,0.00,91,74
897,0.00,86,69
898,0.00,89,74
899,0.50,79,69
900,0.00,81,66
901,0.00,80,71
902,0.00,85,71
903,0.00,89,71
904,0.22,91,75
905,0.00,78,62
906,0.00,83,64
907,0.56,91,67
908,0.00,74,61
909,0.00,73,61
910,0.68,76,69
911,0.00,82,68
912,0.00,84,68
913,0.00,86,65
914,0.01,87,64
915,0.00,74,54
916,0.22,74,64
917,0.00,69,56
918,0.00,64,57
919,0.40,59,56
920,0.00,72,60
921,0.00,69,60
922,0.00,67,53
923,0.00,73,55
924,0.00,75,57
925,0.00,64,47
926,0.00,63,46
927,0.00,66,53
928,0.00,67,53
929,0.00,62,47
930,0.00,81,63
931,0.00,81,67
932,0.00,85,65
933,0.00,70,62
934,1.11,69,57
935,0.00,62,47
936,0.00,52,43
937,0.00,51,38
938,1.41,55,40
939,0.00,51,42
940,0.00,54,44
941,0.00,58,40
942,0.00,70,54
943,0.00,72,57
944,0.00,61,47
945,0.00,53,41
946,0.00,66,41
947,0.06,59,49
948,0.00,56,40
949,0.00,63,41
950,0.00,62,46
951,1.81,56,47
952,0.00,61,45
953,0.00,61,49
954,0.00,64,44
955,0.00,41,36
956,0.00,41,37
957,0.00,45,35
958,0.02,54,45
959,0.00,52,38
960,2.20,60,51
961,0.73,58,50
962,0.07,54,42
963,0.00,51,40
964,0.19,49,38
965,0.35,46,37
966,0.09,46,40
967,0.00,45,35
968,0.00,39,29
969,0.50,46,34
970,0.00,43,35
971,0.00,42,34
972,0.00,34,19
973,0.00,27,17
974,0.00,31,23
975,0.00,33,20
976,0.00,40,30
977,0.00,49,37
978,0.00,47,38
979,0.00,60,40
980,0.00,40,34
981,0.39,46,33
982,0.01,40,33
983,0.58,43,39
984,0.00,52,34
985,0.00,34,27
986,0.05,33,25
987,0.00,23,14
988,0.00,46,21
989,0.52,52,42
990,0.05,66,47
991,0.00,62,32
992,0.35,42,38
993,0.06,41,38
994,0.00,49,39
995,0.10,45,40
996,1.16,44,36
997,1.18,38,35
998,0.00,51,36
999,0.02,56,43
1000,0.00,43,36
1001,0.00,37,30
1002,0.06,34,26
1003,0.00,47,33
1004,0.00,45,32
1005,0.00,33,26
1006,0.00,49,36
1007,0.27,42,36
1008,0.03,62,38
1009,1.16,44,19
1010,0.00,32,19
1011,0.02,39,31
1012,0.00,41,28
1013,0.00,47,35
1014,0.00,35,28
1015,0.00,41,26
1016,0.00,47,34
1017,0.00,57,42
