"STATION","DATE","PRCP","TAVG","TMAX","TMIN","TSUN"
"USW00094728","2013-10-05","0.00",,"76","64",
"USW00094728","2013-10-06","0.00",,"70","65",
"USW00094728","2013-10-07","0.25",,"76","60",
"USW00094728","2013-10-08","0.00",,"67","54",
"USW00094728","2013-10-09","0.00",,"62","53",
"USW00094728","2013-10-10","0.00",,"65","54",
"USW00094728","2013-10-11","0.02",,"68","60",
"USW00094728","2013-10-12","0.00",,"72","60",
"USW00094728","2013-10-13","0.00",,"65","56",
"USW00094728","2013-10-14","0.00",,"66","52",
"USW00094728","2013-10-15","0.00",,"72","53",
"USW00094728","2013-10-16","0.00",,"67","56",
"USW00094728","2013-10-17","0.02",,"73","61",
"USW00094728","2013-10-18","0.00",,"68","55",
"USW00094728","2013-10-19","0.01",,"64","52",
"USW00094728","2013-10-20","0.00",,"63","50",
"USW00094728","2013-10-21","0.00",,"66","50",
"USW00094728","2013-10-22","0.00",,"67","51",
"USW00094728","2013-10-23","0.00",,"55","45",
"USW00094728","2013-10-24","0.00",,"54","41",
"USW00094728","2013-10-25","0.00",,"53","40",
"USW00094728","2013-10-26","0.00",,"55","41",
"USW00094728","2013-10-27","0.00",,"58","46",
"USW00094728","2013-10-28","0.00",,"61","43",
"USW00094728","2013-10-29","0.00",,"56","44",
"USW00094728","2013-10-30","0.00",,"60","47",
"USW00094728","2013-10-31","0.06",,"66","53",
"USW00094728","2013-11-01","0.13",,"70","59",
"USW00094728","2013-11-02","0.00",,"68","55",
"USW00094728","2013-11-03","0.00",,"55","37",
"USW00094728","2013-11-04","0.00",,"46","35",
"USW00094728","2013-11-05","0.00",,"55","41",
"USW00094728","2013-11-06","0.00",,"61","49",
"USW00094728","2013-11-07","0.13",,"64","44",
"USW00094728","2013-11-08","0.00",,"50","40",
"USW00094728","2013-11-09","0.00",,"50","38",
"USW00094728","2013-11-10","0.00",,"61","44",
"USW00094728","2013-11-11","0.00",,"53","43",
"USW00094728","2013-11-12","0.03",,"52","31",
"USW00094728","2013-11-13","0.00",,"39","29",
"USW00094728","2013-11-14","0.00",,"52","33",
"USW00094728","2013-11-15","0.00",,"57","44",
"USW00094728","2013-11-16","0.05",,"60","45",
"USW00094728","2013-11-17","0.03",,"60","51",
"USW00094728","2013-11-18","0.22",,"65","51",
"USW00094728","2013-11-19","0.00",,"51","36",
"USW00094728","2013-11-20","0.00",,"44","32",
"USW00094728","2013-11-21","0.00",,"52","35",
"USW00094728","2013-11-22","0.07",,"57","51",
"USW00094728","2013-11-23","0.00",,"54","31",
"USW00094728","2013-11-24","0.00",,"30","23",
"USW00094728","2013-11-25","0.00",,"35","23",
"USW00094728","2013-11-26","0.51",,"47","33",
"USW00094728","2013-11-27","1.98",,"62","35",
"USW00094728","2013-11-28","0.00",,"35","30",
"USW00094728","2013-11-29","0.00",,"39","29",
"USW00094728","2013-11-30","0.00",,"39","25",
"USW00094728","2013-12-01","0.00",,"49","36",
"USW00094728","2013-12-02","0.00",,"49","41",
"USW00094728","2013-12-03","0.00",,"53","38",
"USW00094728","2013-12-04","0.00",,"52","41",
"USW00094728","2013-12-05","0.01",,"60","48",
"USW00094728","2013-12-06","0.73",,"62","37",
"USW00094728","2013-12-07","0.14",,"41","32",
"USW00094728","2013-12-08","0.08",,"33","29",
"USW00094728","2013-12-09","0.30",,"39","31",
"USW00094728","2013-12-10","0.23",,"37","30",
"USW00094728","2013-12-11","0.00",,"33","27",
"USW00094728","2013-12-12","0.00",,"30","23",
"USW00094728","2013-12-13","0.00",,"35","23",
"USW00094728","2013-12-14","0.73",,"34","22",
"USW00094728","2013-12-15","0.72",,"40","30",
"USW00094728","2013-12-16","0.00",,"33","25",
"USW00094728","2013-12-17","0.19",,"32","24",
"USW00094728","2013-12-18","0.00",,"37","23",
"USW00094728","2013-12-19","0.00",,"47","30",
"USW00094728","2013-12-20","0.00",,"53","41",
"USW00094728","2013-12-21","0.01",,"65","51",
"USW00094728","2013-12-22","0.00",,"71","61",
"USW00094728","2013-12-23","0.51",,"64","42",
"USW00094728","2013-12-24","0.00",,"42","26",
"USW00094728","2013-12-25","0.00",,"31","19",
"USW00094728","2013-12-26","0.00",,"36","30",
"USW00094728","2013-12-27","0.00",,"40","31",
"USW00094728","2013-12-28","0.00",,"55","36",
"USW00094728","2013-12-29","1.20",,"48","41",
"USW00094728","2013-12-30","0.00",,"45","23",
"USW00094728","2013-12-31","0.00",,"32","21",
"USW00094728","2014-01-01","0.00",,"33","24",
"USW00094728","2014-01-02","0.33",,"33","18",
"USW00094728","2014-01-03","0.29",,"18","9",
"USW00094728","2014-01-04","0.00",,"29","8",
"USW00094728","2014-01-05","0.14",,"40","27",
"USW00094728","2014-01-06","0.36",,"55","19",
"USW00094728","2014-01-07","0.00",,"19","4",
"USW00094728","2014-01-08","0.00",,"22","9",
"USW00094728","2014-01-09","0.00",,"32","22",
"USW00094728","2014-01-10","0.11",,"37","30",
"USW00094728","2014-01-11","0.50",,"58","37",
"USW00094728","2014-01-12","0.05",,"54","38",
"USW00094728","2014-01-13","0.00",,"51","37",
"USW00094728","2014-01-14","0.38",,"52","44",
