73288:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-30","7.83",,,,,"0.00","0.0","0.0",,,,,,,,,,
73289:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-31","5.37",,,,,"0.17","0.0","0.0",,"    1",,,,,,,,
73290:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-01","5.14",,,,,"0.00","0.0","0.0",,,,,,,,,,
73291:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-02","6.26",,,,,"0.00","0.0","0.0",,,,,,,,,,
73292:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-03","6.71",,,,,"0.04","0.0","0.0",,"    1",,,,,,"    1",,
73293:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-04","10.07",,,,,"0.01","0.0","0.0",,"    1",,,,,,,,
73294:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-05","4.92",,,,,"0.00","0.0","0.0",,,,,,,,,,
73295:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-06","4.25",,,,,"0.00","0.0","0.0",,,,,,,,,,
73296:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-07","6.93",,,,,"0.15","0.0","0.0",,"    1",,,,,,"    1",,
73297:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-08","11.41",,,,,"0.00","0.0","0.0",,"    1",,,,,,"    1",,
73298:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-09","8.95",,,,,"0.00","0.0","0.0",,"    1",,,,,,"    1",,
73299:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-10","4.70",,,,,"0.17","0.0","0.0",,"    1",,,,,,"    1",,
73300:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-11","8.72",,,,,"0.00","0.0","0.0",,,,,,,,,,
73301:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-12","3.36",,,,,"0.00","0.0","0.0",,,,,,,,,,
73302:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-13","4.70",,,,,"0.00","0.0","0.0",,,,,,,,,,
73303:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-14","3.80",,,,,"0.01","0.0","0.0",,,,,,,,,,
73304:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-15","6.26",,,,,"0.00","0.0","0.0",,,,,,,,,,
73305:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-16","6.49",,,,,"0.00","0.0","0.0",,,,,,,,,,
73306:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-17","5.14",,,,,"0.08","0.0","0.0",,,,,,,,,,
73307:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-18","4.25",,,,,"0.00","0.0","0.0",,,,,,,,,,
73308:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-19","8.50",,,,,"0.00","0.0","0.0",,,,,,,,,,
73309:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-20","7.38",,,,,"1.37","0.0","0.0",,"    1",,,,,,,,
73310:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-21","6.04",,,,,"0.20","0.0","0.0",,"    1",,,,,,,,
73311:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-22","6.49",,,,,"0.05","0.0","0.0",,,,,,,,,,
73312:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-23","9.17",,,,,"0.00","0.0","0.0",,,,,,,,,,
73313:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-24","8.50",,,,,"0.00","0.0","0.0",,,,,,,,,,
73314:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-25","5.59",,,,,"0.00","0.0","0.0",,,,,,,,,,
73315:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-26","5.14",,,,,"0.00","0.0","0.0",,,,,,,,,,
73316:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-27","5.82",,,,,"0.00","0.0","0.0",,,,,,,,,,
73317:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-28","7.83",,,,,"0.00","0.0","0.0",,,,,,,,,,
73318:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-29","5.59",,,,,"0.00","0.0","0.0",,,,,,,,,,
73319:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-30","8.05",,,,,"0.00","0.0","0.0",,,,,,,,,,
73320:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-01","5.14",,,,,"0.00","0.0","0.0",,,,,,,,,,
73321:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-02","2.91",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73322:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-03","2.46",,,,,"0.00","0.0","0.0",,,,,,,,,,
